stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
64,20480,"4th @ Bakersfield Senior Center",35.360849,-119.008160,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=64"
65,21864,"River & Skyline",35.399064,-118.985314,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=65"
66,13157,"Truxtun & L",35.373468,-119.016851,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=66"
67,11350,"Columbus & River",35.397638,-118.985784,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=67"
68,18741,"California & Oak",35.368741,-119.037692,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=68"
69,18756,"California & Chester Lane",35.367485,-119.049168,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=69"
70,18718,"California & Mohawk",35.360785,-119.060420,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=70"
71,14727,"California & Business Center Drive",35.356726,-119.061298,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=71"
72,14715,"New Stine & Stockdale",35.353366,-119.061320,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=72"
73,11366,"Columbus & North Baker",35.397636,-118.987455,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=73"
74,14770,"New Stine & Demaret",35.351331,-119.061313,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=74"
75,13415,"New Stine & Gorham",35.349497,-119.061314,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=75"
76,17847,"New Stine & Belle Terrace",35.346500,-119.061307,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=76"
77,11378,"Columbus & North Tulare",35.397594,-118.990537,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=77"
78,15737,"Ashe & Bronson",35.326626,-119.074550,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=78"
79,15700,"Ashe & Herb",35.324359,-119.074645,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=79"
80,14990,"Half Moon & Ashe",35.321889,-119.074940,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=80"
81,14903,"Half Moon & Gunnison",35.322085,-119.078433,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=81"
82,14919,"Half Moon & Olympia",35.323909,-119.080958,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=82"
83,14926,"Half Moon & Pullman",35.326153,-119.081400,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=83"
84,11494,"Columbus & Alta Vista",35.397570,-118.993387,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=84"
85,14935,"Half Moon & Innisfree",35.329680,-119.078998,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=85"
86,15728,"Half Moon & Ashe",35.330038,-119.075420,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=86"
87,11460,"Columbus & Alturas",35.397557,-118.995976,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=87"
88,14237,"New Stine & Nordic",35.345278,-119.061009,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=88"
89,14228,"New Stine & Belle Terrace",35.347267,-119.061016,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=89"
90,16009,"New Stine & Gorham",35.349511,-119.061017,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=90"
91,14244,"New Stine & Stockdale",35.353325,-119.061001,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=91"
92,14259,"California & Business Center Drive",35.355587,-119.060938,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=92"
93,15970,"California & Mohawk",35.361481,-119.059604,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=93"
94,11439,"Columbus & Loma Linda",35.397556,-118.998961,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=94"
95,15958,"California & Chester Lane",35.367283,-119.047267,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=95"
96,18610,"California & Oak",35.368496,-119.038006,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=96"
97,11473,"Columbus & Union",35.397560,-119.002392,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=97"
98,14484,"Truxtun & Chester",35.373210,-119.018320,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=98"
100,14421,"Truxtun & N",35.373195,-119.014971,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=100"
101,14318,"Truxtun @ Rabo Bank Arena",35.373185,-119.012407,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=101"
102,11487,"West Columbus & San Dimas",35.397724,-119.007663,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=102"
103,20856,"4th & P",35.360693,-119.011307,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=103"
104,20841,"4th & R",35.360687,-119.009212,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=104"
105,21620,"East 4th & Union",35.360725,-119.001918,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=105"
106,20361,"East 4th & Rodman",35.360718,-118.998752,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=106"
107,20303,"East 4th & King",35.361113,-118.993691,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=107"
108,20357,"Virginia & Owens",35.361155,-118.990332,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=108"
111,20374,"Virginia & Washington",35.361210,-118.975832,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=111"
112,20319,"Virginia & Mt Vernon",35.361268,-118.966193,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=112"
113,12703,"West Columbus & Q",35.398203,-119.011082,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=113"
114,20326,"Virginia & Hazel",35.361307,-118.963075,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=114"
115,20335,"Virginia & Quantico",35.361322,-118.959388,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=115"
116,18532,"Virginia & Richards",35.361353,-118.955916,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=116"
117,18513,"Virginia & Oswell",35.361334,-118.950483,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=117"
118,18578,"Pioneer & Oswell",35.368624,-118.948834,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=118"
119,18597,"Pioneer & Hill",35.368640,-118.946519,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=119"
120,21421,"Pioneer & Sterling",35.368647,-118.941538,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=120"
121,12788,"West Columbus & Jewett",35.398213,-119.014013,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=121"
122,21432,"Pioneer & Shalimar",35.368727,-118.936031,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=122"
123,18550,"Pioneer & Fairfax",35.368730,-118.930826,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=123"
124,18584,"Pioneer & Tangerine",35.368753,-118.927862,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=124"
125,18545,"Pioneer & Brentwood",35.368819,-118.923232,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=125"
126,21497,"Hughes & Wilson",35.331768,-119.030206,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=126"
127,19459,"Hughes & Westhaven",35.330081,-119.030209,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=127"
128,19471,"Hughes & Belvedere",35.327909,-119.030207,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=128"
129,19463,"Hughes & Planz",35.323438,-119.030214,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=129"
130,12719,"West Columbus @ Bethel Academy",35.398220,-119.016251,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=130"
131,19400,"Hughes & Bea",35.321362,-119.030215,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=131"
132,19416,"Hughes & Patti",35.318921,-119.030214,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=132"
133,12790,"Chester & West Columbus",35.399036,-119.018554,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=133"
137,12052,"Panama Lane & Castleford",35.296028,-119.041506,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=137"
139,12034,"Panama Lane & Akers",35.296046,-119.047129,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=139"
140,12145,"Stine & Pine Castle",35.298850,-119.056540,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=140"
141,12150,"Stine & Baybrook",35.301599,-119.056539,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=141"
142,14151,"Stine & Harris",35.303862,-119.056543,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=142"
143,14179,"Stine & Fountainview",35.306285,-119.056540,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=143"
144,14180,"Stine & Country Place",35.308822,-119.056534,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=144"
145,14114,"Stine & District",35.312764,-119.056539,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=145"
146,13692,"Roberts & Chester",35.408727,-119.022348,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=146"
147,14105,"Stine & New Horizon",35.316258,-119.056532,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=147"
148,14122,"Stine & White Lane",35.318570,-119.056525,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=148"
149,14133,"Stine & Beechwood",35.322964,-119.056538,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=149"
150,13709,"Roberts & Plymouth",35.408724,-119.025932,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=150"
151,15031,"Old River @ Mercy Southwest Hospital",35.351783,-119.114588,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=151"
152,15008,"Camino Media & Old River",35.344091,-119.112866,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=152"
153,15012,"Camino Media & Roadrunner",35.342813,-119.103847,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=153"
154,17059,"Haggin Oaks @ The Marketplace",35.341471,-119.101246,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=154"
155,17071,"Ming @ Southwest Library",35.339627,-119.095514,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=155"
156,13685,"Roberts & Oildale",35.408723,-119.030389,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=156"
157,17063,"Ming & Ashe",35.334612,-119.073300,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=157"
158,11070,"Ming & New Stine",35.338388,-119.059912,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=158"
159,11015,"Ming & Hasti Acres",35.339458,-119.051720,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=159"
160,10298,"Ming & South Chester",35.339330,-119.017769,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=160"
161,15480,"Ming & South M",35.339406,-119.014344,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=161"
162,15498,"Ming & South P",35.339394,-119.011280,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=162"
163,15451,"Ming & Allens",35.339391,-119.007123,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=163"
164,13713,"Roberts & Sequoia",35.408714,-119.034568,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=164"
165,15467,"South Union & Casa Loma",35.340101,-119.002888,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=165"
166,15479,"South Union & Adams",35.344228,-119.002869,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=166"
167,15422,"Union & East Brundage",35.354782,-119.002833,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=167"
168,13721,"Roberts & Airport",35.408718,-119.038267,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=168"
169,15433,"Union & Texas",35.357961,-119.002820,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=169"
170,15405,"Union & East 4th",35.361285,-119.002809,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=170"
171,15414,"Union & East 8th",35.365053,-119.002796,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=171"
172,15825,"Union & East 11th",35.367625,-119.002778,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=172"
173,15802,"Union & East California",35.369248,-119.002776,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=173"
174,15818,"Union & East 17th",35.374121,-119.002754,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=174"
175,15894,"East 19th & Union",35.376129,-119.002460,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=175"
176,15887,"East 19th & Sonora",35.376200,-119.000066,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=176"
177,12941,"Airport & Roberts Lane",35.409107,-119.038748,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=177"
178,14547,"Baker & East 21st",35.375642,-118.993233,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=178"
179,14568,"Baker & Monterey",35.380730,-118.991436,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=179"
180,14581,"Baker & Niles",35.382284,-118.990885,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=180"
181,14575,"Baker & Pacific",35.383964,-118.990287,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=181"
182,14552,"Baker & Flower",35.385764,-118.989641,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=182"
183,10976,"Flower & Beale",35.385323,-118.986015,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=183"
184,10924,"Flower & Gage",35.384627,-118.983117,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=184"
185,13732,"Olive & Airport",35.412380,-119.040192,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=185"
186,10911,"Flower & Haley",35.383644,-118.979020,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=186"
187,16740,"Flower & Williams",35.383028,-118.976442,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=187"
188,13637,"Olive & Sanford",35.412384,-119.042731,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=188"
189,16468,"Haley & Columbus",35.397975,-118.976229,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=189"
191,16423,"Haley & Dartmouth",35.403015,-118.976291,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=191"
192,16410,"Haley & University",35.404584,-118.976306,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=192"
193,13659,"Olive @ Olive Drive Towne Center",35.412403,-119.045072,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=193"
194,21228,"Flower & Williams",35.383136,-118.976271,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=194"
195,13616,"Olive & Roberts",35.412546,-119.048294,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=195"
196,16646,"Flower & Haley",35.383883,-118.979366,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=196"
197,16605,"Flower & Gage",35.384902,-118.983625,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=197"
198,16622,"Flower & Beale",35.385449,-118.985951,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=198"
199,16614,"Baker & Flower",35.385500,-118.989906,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=199"
200,16633,"Baker & Oregon",35.383445,-118.990642,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=200"
201,16508,"Baker & Niles",35.381814,-118.991225,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=201"
202,16512,"Baker & Monterey",35.380672,-118.991636,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=202"
203,13663,"Olive & State",35.412480,-119.051186,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=203"
204,16531,"Baker & East 21st",35.375660,-118.993438,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=204"
205,16520,"East 19th & Tulare",35.375563,-118.996539,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=205"
206,16577,"East 19th & Sonora",35.376325,-119.001052,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=206"
207,15678,"Union & 17th",35.373878,-119.003112,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=207"
208,21271,"Union & California",35.367191,-119.003123,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=208"
209,15697,"Union & 8th",35.364855,-119.003128,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=209"
210,12757,"Olive & Knudsen",35.412471,-119.060714,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=210"
211,15684,"Union & 4th",35.360383,-119.003149,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=211"
212,15650,"Union & 2nd",35.357155,-119.003164,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=212"
213,21872,"Olive & Victor",35.412483,-119.064155,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=213"
214,15621,"South Union & Amador",35.343781,-119.003197,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=214"
215,15609,"South Union & Ming",35.340402,-119.003219,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=215"
217,12828,"Ming & South P",35.339556,-119.012422,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=217"
218,16050,"Ming & South M",35.339556,-119.015557,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=218"
219,13283,"Ming & Real",35.339641,-119.044678,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=219"
220,13265,"Ming & New Stine",35.337654,-119.062671,"http://eta.getbus.org/RTT/Public/RoutePositionET.aspx?PlatformTag=220"
