"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"San Bernardino Line","1146","295100240","L. A. Union Station","319","1"
"San Bernardino Line","1146","295100242","L. A. Union Station","321","1"
"San Bernardino Line","1146","295100246","L. A. Union Station","325","1"
"San Bernardino Line","1146","295100250","L. A. Union Station","329","1"
"San Bernardino Line","1146","295100252","L. A. Union Station","331","1"
"San Bernardino Line","1146","295100254","L. A. Union Station","333","1"
"San Bernardino Line","1146","295100861","L. A. Union Station","335","1"
"San Bernardino Line","1146","295100862","L. A. Union Station","337","1"
"San Bernardino Line","1146","295101003","L. A. Union Station","307","1"
"San Bernardino Line","1146","295200221","San Bernardino","300","0"
"San Bernardino Line","1146","295200224","San Bernardino","302","0"
"San Bernardino Line","1146","295200225","San Bernardino","304","0"
"San Bernardino Line","1146","295200229","San Bernardino","308","0"
"San Bernardino Line","1146","295200233","San Bernardino","312","0"
"San Bernardino Line","1146","295200235","San Bernardino","314","0"
"San Bernardino Line","1146","295200237","San Bernardino","316","0"
"San Bernardino Line","1146","295200239","San Bernardino","318","0"
"San Bernardino Line","1146","295200241","San Bernardino","320","0"
"San Bernardino Line","1146","295200243","San Bernardino","322","0"
"San Bernardino Line","1146","295200245","San Bernardino","310","0"
"San Bernardino Line","1146","295200247","San Bernardino","326","0"
"San Bernardino Line","1146","295200249","San Bernardino","328","0"
"San Bernardino Line","1146","295200251","San Bernardino","330","0"
"San Bernardino Line","1146","295200253","San Bernardino","332","0"
"San Bernardino Line","1146","295200881","San Bernardino","334","0"
"San Bernardino Line","1146","295200882","San Bernardino","336","0"
"San Bernardino Line","1146","295201004","San Bernardino","324","0"
"San Bernardino Line","1147","295300261","L. A. Union Station","353","1"
"San Bernardino Line","1147","295300266","L. A. Union Station","359","1"
"San Bernardino Line","1147","295300269","L. A. Union Station","363","1"
"San Bernardino Line","1147","295300273","L. A. Union Station","369","1"
"San Bernardino Line","1147","295300277","L. A. Union Station","373","1"
"San Bernardino Line","1147","295300281","L. A. Union Station","357","1"
"San Bernardino Line","1147","295300282","L. A. Union Station","367","1"
"San Bernardino Line","1147","295300747","L. A. Union Station","351","1"
"San Bernardino Line","1147","295300760","L. A. Union Station","377","1"
"San Bernardino Line","1147","295300762","L. A. Union Station","379","1"
"San Bernardino Line","1147","295400262","Riverside-Downtown","354","0"
"San Bernardino Line","1147","295400265","Riverside-Downtown","358","0"
"San Bernardino Line","1147","295400268","Riverside-Downtown","362","0"
"San Bernardino Line","1147","295400270","Riverside-Downtown","364","0"
"San Bernardino Line","1147","295400272","Riverside-Downtown","366","0"
"San Bernardino Line","1147","295400276","Riverside-Downtown","372","0"
"San Bernardino Line","1147","295400280","Riverside-Downtown","376","0"
"San Bernardino Line","1147","295400302","Riverside-Downtown","368","0"
"San Bernardino Line","1147","295400748","Riverside-Downtown","352","0"
"San Bernardino Line","1147","295400761","Riverside-Downtown","378","0"
"San Bernardino Line","1148","295500266","L. A. Union Station","359","1"
"San Bernardino Line","1148","295500267","L. A. Union Station","361","1"
"San Bernardino Line","1148","295500273","L. A. Union Station","369","1"
"San Bernardino Line","1148","295500281","L. A. Union Station","357","1"
"San Bernardino Line","1148","295500282","L. A. Union Station","367","1"
"San Bernardino Line","1148","295500747","L. A. Union Station","351","1"
"San Bernardino Line","1148","295500760","L. A. Union Station","377","1"
"San Bernardino Line","1148","295600262","Riverside-Downtown","354","0"
"San Bernardino Line","1148","295600264","Riverside-Downtown","356","0"
"San Bernardino Line","1148","295600268","Riverside-Downtown","362","0"
"San Bernardino Line","1148","295600270","Riverside-Downtown","364","0"
"San Bernardino Line","1148","295600272","Riverside-Downtown","366","0"
"San Bernardino Line","1148","295600280","Riverside-Downtown","376","0"
"San Bernardino Line","1148","295600302","Riverside-Downtown","368","0"
"Riverside Line","1149","295700441","L. A. Union Station","401","1"
"Riverside Line","1149","295700442","L. A. Union Station","403","1"
"Riverside Line","1149","295700443","L. A. Union Station","405","1"
"Riverside Line","1149","295700444","L. A. Union Station","407","1"
"Riverside Line","1149","295700445","L. A. Union Station","409","1"
"Riverside Line","1149","295700446","L. A. Union Station","411","1"
"Riverside Line","1149","295800461","Riverside-Downtown","402","0"
"Riverside Line","1149","295800462","Riverside-Downtown","404","0"
"Riverside Line","1149","295800463","Riverside-Downtown","406","0"
"Riverside Line","1149","295800464","Riverside-Downtown","408","0"
"Riverside Line","1149","295800465","Riverside-Downtown","410","0"
"Riverside Line","1149","295800466","Riverside-Downtown","412","0"
"91 Line","1150","295900043","L. A. Union Station","701","1"
"91 Line","1150","295900046","L. A. Union Station","703","1"
"91 Line","1150","295900055","L. A. Union Station","705","1"
"91 Line","1150","295900061","L. A. Union Station","707","1"
"91 Line","1150","296000081","San Bernardino","700","0"
"91 Line","1150","296000083","San Bernardino","702","0"
"91 Line","1150","296000091","San Bernardino","704","0"
"91 Line","1150","296000097","San Bernardino","706","0"
"91 Line","1150","296000100","San Bernardino","708","0"
"91 Line","1150","296800443","L. A. Union Station","731","1"
"91 Line","1150","296800444","L. A. Union Station","733","1"
"91 Line","1150","296800445","L. A. Union Station","735","1"
"91 Line","1150","296800446","San Bernardino","732","0"
"91 Line","1150","296800447","San Bernardino","734","0"
"91 Line","1150","296800448","San Bernardino","736","0"
"Orange County Line","1151","296100041","L. A. Union Station","681","1"
"Orange County Line","1151","296100042","L. A. Union Station","601","1"
"Orange County Line","1151","296100044","L. A. Union Station","603","1"
"Orange County Line","1151","296100045","L. A. Union Station","605","1"
"Orange County Line","1151","296100047","L. A. Union Station","683","1"
"Orange County Line","1151","296100048","L. A. Union Station","607","1"
"Orange County Line","1151","296100049","L. A. Union Station","685","1"
"Orange County Line","1151","296100051","L. A. Union Station","687","1"
"Orange County Line","1151","296100057","L. A. Union Station","609","1"
"Orange County Line","1151","296100059","L. A. Union Station","689","1"
"Orange County Line","1151","296101041","L. A. Union Station","641","1"
"Orange County Line","1151","296101042","L. A. Union Station","643","1"
"Orange County Line","1151","296101043","L. A. Union Station","645","1"
"Orange County Line","1151","296200086","Oceanside","682","0"
"Orange County Line","1151","296200088","Oceanside","600","0"
"Orange County Line","1151","296200093","Oceanside","684","0"
"Orange County Line","1151","296200094","Oceanside","602","0"
"Orange County Line","1151","296200096","Oceanside","686","0"
"Orange County Line","1151","296200098","Oceanside","604","0"
"Orange County Line","1151","296200099","Oceanside","688","0"
"Orange County Line","1151","296200101","Oceanside","606","0"
"Orange County Line","1151","296200102","Oceanside","608","0"
"Orange County Line","1151","296201044","Oceanside","640","0"
"Orange County Line","1151","296201045","Oceanside","642","0"
"Orange County Line","1151","296201046","Oceanside","644","0"
"Orange County Line","1151","296800430","Laguna Niguel / M.viejo","632","0"
"Orange County Line","1151","296800431","Laguna Niguel / M.viejo","634","0"
"Orange County Line","1151","296800434","Fullerton","633","1"
"Orange County Line","1151","296800435","Fullerton","635","1"
"Orange County Line","1152","296300901","L. A. Union Station","661","1"
"Orange County Line","1152","296300922","L. A. Union Station","665","1"
"Orange County Line","1152","296400921","Oceanside","662","0"
"Orange County Line","1152","296400923","Oceanside","664","0"
"Orange County Line","1152","296800432","Oceanside","660","0"
"Orange County Line","1152","296800433","Oceanside","666","0"
"Orange County Line","1152","296800436","L. A. Union Station","663","1"
"Orange County Line","1152","296800437","L. A. Union Station","667","1"
"Inland Emp.-Orange Co. Line","1153","200000029","San Bernardino","814","1"
"Inland Emp.-Orange Co. Line","1153","200000030","Oceanside","815","0"
"Inland Emp.-Orange Co. Line","1153","220000001","Oceanside","817","0"
"Inland Emp.-Orange Co. Line","1153","296500082","Oceanside","803","0"
"Inland Emp.-Orange Co. Line","1153","296500084","Oceanside","805","0"
"Inland Emp.-Orange Co. Line","1153","296500085","Oceanside","807","0"
"Inland Emp.-Orange Co. Line","1153","296500087","Oceanside","809","0"
"Inland Emp.-Orange Co. Line","1153","296500090","Oceanside","811","0"
"Inland Emp.-Orange Co. Line","1153","296500095","Oceanside","813","0"
"Inland Emp.-Orange Co. Line","1153","296600054","San Bernardino","802","1"
"Inland Emp.-Orange Co. Line","1153","296600056","San Bernardino","804","1"
"Inland Emp.-Orange Co. Line","1153","296600058","San Bernardino","806","1"
"Inland Emp.-Orange Co. Line","1153","296600060","San Bernardino","808","1"
"Inland Emp.-Orange Co. Line","1153","296600062","San Bernardino","810","1"
"Inland Emp.-Orange Co. Line","1153","296800440","San Bernardino","812","1"
"Inland Emp.-Orange Co. Line","1153","296800442","San Bernardino","800","1"
"Inland Emp.-Orange Co. Line","1154","296700425","Oceanside","859","0"
"Inland Emp.-Orange Co. Line","1154","296800429","San Bernardino","860","1"
"Inland Emp.-Orange Co. Line","1154","296800439","Oceanside","857","0"
"Inland Emp.-Orange Co. Line","1154","296800441","San Bernardino","858","1"
"91 Line","1155","295900751","L. A. Union Station","751","1"
"91 Line","1155","295900753","L. A. Union Station","753","1"
"91 Line","1155","296000752","San Bernardino","752","0"
"91 Line","1155","296000754","San Bernardino","754","0"
