stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
T3LSHTL,G Shuttle Stop at Terminal 3 Lower Level,G Shuttles stop on the lower level of each terminal. Wait under the blue sign in the center median.,33.944969,-118.405940,,,,
TBUSHTL,C Shuttle Stop at Int'l Terminal Upper Level,C Shuttles stop on the upper level of each terminal,33.94397,-118.40831,,,,
TBLSHTL,G Shuttle Stop at Int'l Terminal Lower Level,G Shuttles stop on the lower level of each terminal. Wait under the blue sign in the center median.,33.944657,-118.408132,,,,
T4USHTL,C Shuttle Stop at Terminal 4 Upper Level,C Shuttles stop on the upper level of each terminal,33.94251,-118.40660,,,,
T4LSHTL,G Shuttle Stop at Terminal 4 Lower Level,G Shuttles stop on the lower level of each terminal. Wait under the blue sign in the center median.,33.942530,-118.407627,,,,
T5USHTL,C Shuttle Stop at Terminal 5 Upper Level,C Shuttles stop on the upper level of each terminal,33.94274,-118.40431,,,,
T5LSHTL,G Shuttle Stop at Terminal 5 Lower Level,G Shuttles stop on the lower level of each terminal. Wait under the blue sign in the center median.,33.94278, -118.40504,,,,
T6USHTL,C Shuttle Stop at Terminal 6 Upper Level,C Shuttles stop on the upper level of each terminal,33.94306,-118.40110,,,,
T6LSHTL,G Shuttle Stop at Terminal 6 Lower Level,G Shuttles stop on the lower level of each terminal. Wait under the blue sign in the center median.,33.942986,-118.403116,,,,
T7USHTL,C Shuttle Stop at Terminal 6 Upper Level,C Shuttles stop on the upper level of each terminal,33.94331,-118.39858,,,,
T7LSHTL,G Shuttle Stop at Terminal 6 Lower Level,G Shuttles stop on the lower level of each terminal. Wait under the blue sign in the center median.,33.94324,-118.40054,,,,
