"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone"
106,"106","BEACH-BALL",,"33.81813","-117.99310",,,,,
107,"107","BEACH-ROME",,"33.82059","-117.99315",,,,,
108,"108","BEACH-ORANGE",,"33.82545","-117.99317",,,,,
109,"109","BEACH-YOUTH CENTER",,"33.82870","-117.99325",,,,,
110,"110","BEACH-LINCOLN",,"33.83304","-117.99334",,,,,
111,"111","BEACH-LINCOLN",,"33.83154","-117.99372",,,,,
112,"112","BEACH-YOUTH CENTER",,"33.82796","-117.99360",,,,,
114,"114","BEACH-ORANGE",,"33.82435","-117.99354",,,,,
115,"115","BEACH-STONYBROOK",,"33.82127","-117.99350",,,,,
116,"116","BEACH-BALL",,"33.81698","-117.99350",,,,,
120,"120","BROOKHURST-KATELLA",,"33.80361","-117.95873",,,,,
121,"121","BROOKHURST-CRESTWOOD",,"33.80666","-117.95880",,,,,
122,"122","BROOKHURST-CERRITOS",,"33.81123","-117.95883",,,,,
123,"123","BROOKHURST-PALAIS",,"33.81428","-117.95879",,,,,
124,"124","BROOKHURST-BALL",,"33.81879","-117.95879",,,,,
125,"125","BROOKHURST-BROOKMORE",,"33.82060","-117.95883",,,,,
126,"126","BROOKHURST-NIOBE",,"33.82295","-117.95880",,,,,
127,"127","BROOKHURST-ORANGE",,"33.82555","-117.95883",,,,,
128,"128","BROOKHURST-BROADWAY",,"33.82842","-117.95881",,,,,
129,"129","BROOKHURST-LINCOLN",,"33.83316","-117.95883",,,,,
130,"130","BROOKHURST-CATALINA",,"33.83653","-117.95888",,,,,
131,"131","BROOKHURST-CRESCENT",,"33.83915","-117.95894",,,,,
132,"132","BROOKHURST-LA PALMA",,"33.84795","-117.95903",,,,,
136,"136","BROOKHURST-LA PALMA",,"33.84809","-117.95937",,,,,
137,"137","BROOKHURST-CRESCENT",,"33.83922","-117.95925",,,,,
138,"138","BROOKHURST-WOODLEY",,"33.83561","-117.95921",,,,,
139,"139","BROOKHURST-LINCOLN",,"33.83155","-117.95917",,,,,
140,"140","BROOKHURST-ORANGE",,"33.82463","-117.95914",,,,,
141,"141","BROOKHURST-STONEYBROOK",,"33.82226","-117.95914",,,,,
142,"142","BROOKHURST-COLCHESTER",,"33.82052","-117.95913",,,,,
143,"143","BROOKHURST-BALL",,"33.81730","-117.95913",,,,,
144,"144","BROOKHURST-CERRITOS",,"33.81019","-117.95905",,,,,
146,"146","BROOKHURST-CRESTWOOD",,"33.80599","-117.95909",,,,,
153,"153","CHAPMAN-SOMERSET",,"33.78895","-117.91080",,,,,
158,"158","DALE-LINCOLN",,"33.83270","-117.98467",,,,,
159,"159","DALE-CRESCENT",,"33.83919","-117.98500",,,,,
160,"160","DALE-TYLER",,"33.83372","-117.98490",,,,,
177,"177","EUCLID-ORD",,"33.79291","-117.94115",,,,,
178,"178","EUCLID-ORANGEWOOD",,"33.79625","-117.94116",,,,,
179,"179","EUCLID-KATELLA",,"33.80345","-117.94133",,,,,
180,"180","EUCLID-SALLIE",,"33.80515","-117.94131",,,,,
181,"181","EUCLID-CRIS",,"33.80799","-117.94132",,,,,
182,"182","EUCLID-CERRITOS",,"33.81082","-117.94130",,,,,
183,"183","EUCLID-PALAIS",,"33.81401","-117.94130",,,,,
184,"184","EUCLID-BALL",,"33.81837","-117.94134",,,,,
185,"185","EUCLID-CRONE",,"33.82203","-117.94132",,,,,
186,"186","EUCLID-ORANGE",,"33.82591","-117.94136",,,,,
187,"187","EUCLID-BROADWAY",,"33.82927","-117.94135",,,,,
189,"189","EUCLID-LINCOLN",,"33.83299","-117.94140",,,,,
190,"190","EUCLID-CRESCENT",,"33.84024","-117.94143",,,,,
191,"191","EUCLID-GLENOAKS",,"33.84323","-117.94152",,,,,
193,"193","EUCLID-LA PALMA",,"33.84747","-117.94160",,,,,
194,"194","EUCLID-ROMNEYA",,"33.85025","-117.94158",,,,,
195,"195","EUCLID-MEDICAL CENTER",,"33.85209","-117.94162",,,,,
196,"196","EUCLID-MEDICAL CENTER",,"33.85203","-117.94191",,,,,
197,"197","EUCLID-ROMNEYA",,"33.85023","-117.94191",,,,,
199,"199","EUCLID-LA PALMA",,"33.84633","-117.94184",,,,,
201,"201","EUCLID-GLENOAKS",,"33.84277","-117.94176",,,,,
202,"202","EUCLID-CRESCENT",,"33.84002","-117.94177",,,,,
203,"203","EUCLID-LINCOLN",,"33.83176","-117.94169",,,,,
204,"204","EUCLID-BROADWAY",,"33.82847","-117.94167",,,,,
205,"205","EUCLID-ORANGE",,"33.82535","-117.94165",,,,,
206,"206","EUCLID-CRONE",,"33.82133","-117.94163",,,,,
207,"207","EUCLID-BALL",,"33.81754","-117.94168",,,,,
208,"208","EUCLID-CHALET",,"33.81506","-117.94159",,,,,
209,"209","EUCLID-CERRITOS",,"33.81076","-117.94160",,,,,
210,"210","EUCLID-CRIS",,"33.80803","-117.94164",,,,,
211,"211","EUCLID-SALLIE",,"33.80513","-117.94160",,,,,
212,"212","HARBOR-CHAPMAN",,"33.78932","-117.91479",,,,,
213,"213","HARBOR-WILKEN",,"33.79336","-117.91490",,,,,
214,"214","HARBOR-ORANGEWOOD",,"33.79718","-117.91497",,,,,
215,"215","HARBOR-CONVENTION",,"33.80012","-117.91503",,,,,
216,"216","HARBOR-KATELLA",,"33.80383","-117.91513",,,,,
218,"218","HARBOR-EAST SHUTTLE AREA",,"33.80988","-117.91521",,,,,
219,"219","HARBOR-BALL",,"33.81856","-117.91512",,,,,
220,"220","HARBOR-VERMONT",,"33.82155","-117.91533",,,,,
221,"221","HARBOR-SOUTH",,"33.82522","-117.91649",,,,,
222,"222","HARBOR-WATER",,"33.82793","-117.91740",,,,,
223,"223","HARBOR-SANTA ANA",,"33.83020","-117.91810",,,,,
224,"224","HARBOR-BROADWAY",,"33.83174","-117.91863",,,,,
225,"225","HARBOR-LINCOLN",,"33.83388","-117.91925",,,,,
227,"227","HARBOR-SYCAMORE",,"33.83847","-117.92086",,,,,
229,"229","HARBOR-NORTH",,"33.84325","-117.92247",,,,,
231,"231","HARBOR-LA PALMA",,"33.84700","-117.92370",,,,,
232,"232","HARBOR-CARL KARCHER",,"33.85123","-117.92414",,,,,
233,"233","HARBOR-ROMNEYA",,"33.85147","-117.92440",,,,,
234,"234","HARBOR-LA PALMA",,"33.84763","-117.92417",,,,,
236,"236","HARBOR-NORTH",,"33.84309","-117.92260",,,,,
238,"238","HARBOR-SYCAMORE",,"33.83868","-117.92117",,,,,
240,"240","HARBOR-LINCOLN",,"33.83378","-117.91962",,,,,
241,"241","HARBOR-BROADWAY",,"33.83151","-117.91877",,,,,
242,"242","HARBOR-SANTA ANA",,"33.82995","-117.91833",,,,,
243,"243","HARBOR-WATER",,"33.82771","-117.91769",,,,,
244,"244","HARBOR-SOUTH",,"33.82511","-117.91676",,,,,
245,"245","HARBOR-VERMONT",,"33.82152","-117.91560",,,,,
246,"246","HARBOR-BALL",,"33.81875","-117.91545",,,,,
247,"247","HARBOR-EAST SHUTTLE AREA",,"33.80971","-117.91554",,,,,
250,"250","HARBOR-KATELLA",,"33.80284","-117.91551",,,,,
251,"251","HARBOR-CONVENTION",,"33.79896","-117.91540",,,,,
252,"252","HARBOR-ORANGEWOOD",,"33.79572","-117.91534",,,,,
253,"253","HARBOR-WILKEN",,"33.79254","-117.91518",,,,,
262,"262","KATELLA-EUCLID",,"33.80298","-117.94105",,,,,
263,"263","KATELLA-CARNELIAN",,"33.80304","-117.93760",,,,,
264,"264","KATELLA-9TH",,"33.80307","-117.93316",,,,,
265,"265","KATELLA-CASA VISTA",,"33.80312","-117.92720",,,,,
266,"266","KATELLA-WEST",,"33.80317","-117.92325",,,,,
268,"268","KATELLA-HARBOR",,"33.80315","-117.91479",,,,,
269,"269","KATELLA-CLEMENTINE",,"33.80314","-117.90959",,,,,
270,"270","KATELLA-HASTER",,"33.80314","-117.90547",,,,,
271,"271","KATELLA-LEWIS",,"33.80319","-117.89701",,,,,
272,"272","KATELLA-MARKET",,"33.80321","-117.89382",,,,,
273,"273","KATELLA-STATE COLLEGE",,"33.80319","-117.88871",,,,,
274,"274","KATELLA-HOWELL",,"33.80521","-117.88375",,,,,
277,"277","KATELLA-HOWELL",,"33.80556","-117.88389",,,,,
278,"278","KATELLA-STATE COLLEGE",,"33.80347","-117.88877",,,,,
279,"279","KATELLA-AUBURN",,"33.80349","-117.89401",,,,,
280,"280","KATELLA-LEWIS",,"33.80344","-117.89902",,,,,
281,"281","KATELLA-ANAHEIM",,"33.80350","-117.90716",,,,,
282,"282","KATELLA-CLEMENTINE",,"33.80347","-117.91130",,,,,
283,"283","KATELLA-HARBOR",,"33.80344","-117.91588",,,,,
284,"284","KATELLA-CONVENTION CENTER",,"33.80347","-117.91921",,,,,
285,"285","KATELLA-DISNEYLAND",,"33.80343","-117.92454",,,,,
286,"286","KATELLA-WALNUT",,"33.80335","-117.92878",,,,,
287,"287","KATELLA-9TH",,"33.80338","-117.93250",,,,,
288,"288","KATELLA-EUCLID",,"33.80330","-117.94235",,,,,
289,"289","KATELLA-HUMOR",,"33.80327","-117.94513",,,,,
290,"290","KATELLA-NUTWOOD",,"33.80329","-117.95059",,,,,
291,"291","KATELLA-DALLAS",,"33.80328","-117.95446",,,,,
292,"292","KATELLA-BROOKHURST",,"33.80331","-117.95943",,,,,
293,"293","KNOTT-THORNTON",,"33.81342","-118.01063",,,,,
294,"294","KNOTT-BALL",,"33.81787","-118.01069",,,,,
295,"295","KNOTT-ROME",,"33.82032","-118.01071",,,,,
296,"296","KNOTT-ORANGE",,"33.82490","-118.01075",,,,,
297,"297","KNOTT-DANBROOK",,"33.82801","-118.01080",,,,,
298,"298","KNOTT-DEL MONTE",,"33.82989","-118.01085",,,,,
299,"299","KNOTT-LINCOLN",,"33.83144","-118.01112",,,,,
300,"300","KNOTT-DEL MONTE",,"33.82930","-118.01110",,,,,
301,"301","KNOTT-OLINDA",,"33.82716","-118.01111",,,,,
302,"302","KNOTT-ORANGE",,"33.82419","-118.01104",,,,,
303,"303","KNOTT-SAVANNA",,"33.81959","-118.01100",,,,,
304,"304","KNOTT-BALL",,"33.81775","-118.01100",,,,,
305,"305","KNOTT-THORNTON",,"33.81352","-118.01093",,,,,
306,"306","KRAEMER-FRONTERA",,"33.84618","-117.85431",,,,,
307,"307","KRAEMER-LA PALMA",,"33.85207","-117.85753",,,,,
308,"308","KRAEMER-CORONADO",,"33.85493","-117.85858",,,,,
309,"309","KRAEMER-MIRALOMA",,"33.85845","-117.85975",,,,,
310,"310","KRAEMER-LA JOLLA",,"33.86184","-117.86108",,,,,
311,"311","KRAEMER-ORANGETHORPE",,"33.86547","-117.86249",,,,,
314,"314","KRAEMER-ORANGETHORPE",,"33.86462","-117.86243",,,,,
315,"315","KRAEMER-LA JOLLA",,"33.86128","-117.86116",,,,,
316,"316","KRAEMER-MIRALOMA",,"33.85771","-117.85987",,,,,
317,"317","KRAEMER-CORONADO",,"33.85425","-117.85866",,,,,
318,"318","KRAEMER-LA PALMA",,"33.85132","-117.85758",,,,,
319,"319","KRAEMER-FRONTERA",,"33.84601","-117.85451",,,,,
321,"321","LA PALMA-MAGNOLIA",,"33.84670","-117.97580",,,,,
322,"322","LA PALMA-MAYFLOWER",,"33.84682","-117.97184",,,,,
323,"323","LA PALMA-GILBERT",,"33.84680","-117.96748",,,,,
324,"324","LA PALMA-BROOKHURST",,"33.84682","-117.95834",,,,,
325,"325","LA PALMA-FAIRVIEW",,"33.84690","-117.95198",,,,,
326,"326","LA PALMA-FAIRVIEW",,"33.84692","-117.94970",,,,,
327,"327","LA PALMA-ONONDAGA",,"33.84694","-117.94677",,,,,
328,"328","LA PALMA-EUCLID",,"33.84696","-117.94125",,,,,
329,"329","LA PALMA-LAGUNA",,"33.84702","-117.93527",,,,,
330,"330","LA PALMA-WEST",,"33.84703","-117.93158",,,,,
331,"331","LA PALMA-CITRON",,"33.84702","-117.92735",,,,,
332,"332","LA PALMA-HARBOR",,"33.84705","-117.92399",,,,,
333,"333","LA PALMA-LEMON",,"33.84712","-117.91941",,,,,
334,"334","LA PALMA-CLAUDINA",,"33.84714","-117.91693",,,,,
335,"335","LA PALMA-OLIVE",,"33.84717","-117.91335",,,,,
336,"336","LA PALMA-PAULINE",,"33.84718","-117.91086",,,,,
338,"338","LA PALMA-EAST",,"33.84715","-117.90524",,,,,
339,"339","LA PALMA-BUTTONWOOD",,"33.84717","-117.90078",,,,,
340,"340","LA PALMA-ANNA",,"33.84716","-117.89744",,,,,
341,"341","LA PALMA-BAXTER",,"33.84712","-117.89326",,,,,
342,"342","LA PALMA-STATE COLLEGE",,"33.84711","-117.88877",,,,,
343,"343","LA PALMA-WHITTIER",,"33.84718","-117.88471",,,,,
344,"344","LA PALMA-SUNKIST",,"33.84716","-117.87999",,,,,
345,"345","LA PALMA-CHANTILLY",,"33.84714","-117.87526",,,,,
346,"346","LA PALMA-BLUE GUM",,"33.84822","-117.86831",,,,,
347,"347","LA PALMA-RED GUM",,"33.84937","-117.86368",,,,,
348,"348","LA PALMA-KRAEMER",,"33.85110","-117.85678",,,,,
350,"350","LA PALMA-SHEPARD",,"33.85243","-117.85162",,,,,
352,"352","LA PALMA-MILLER",,"33.85372","-117.84658",,,,,
353,"353","LA PALMA-GROVE",,"33.85469","-117.84270",,,,,
354,"354","LA PALMA-PACIFIC CENTER",,"33.85558","-117.83897",,,,,
355,"355","LA PALMA-TUSTIN",,"33.85537","-117.83673",,,,,
356,"356","LA PALMA-HAWK",,"33.85575","-117.83363",,,,,
357,"357","LA PALMA-VAN BUREN",,"33.85810","-117.83084",,,,,
358,"358","LA PALMA-RICHFIELD",,"33.85925","-117.82618",,,,,
359,"359","LA PALMA-FEE ANA",,"33.85927","-117.82301",,,,,
360,"360","LA PALMA-LAKEVIEW",,"33.85925","-117.81777",,,,,
361,"361","LA PALMA-MANASSERO",,"33.85931","-117.81187",,,,,
362,"362","LA PALMA-KELLOGG",,"33.85938","-117.80620",,,,,
363,"363","LA PALMA-BRASHER",,"33.85937","-117.79919",,,,,
364,"364","LA PALMA-WESCOM CORPORATE CENTER",,"33.85973","-117.79361",,,,,
365,"365","LA PALMA-IMPERIAL",,"33.85952","-117.78986",,,,,
366,"366","LA PALMA-EMOGENE",,"33.86834","-117.77130",,,,,
367,"367","LA PALMA-POTOMAC",,"33.87028","-117.76803",,,,,
369,"369","LA PALMA-LYNWOOD",,"33.87250","-117.76007",,,,,
370,"370","LA PALMA-YORBA LINDA",,"33.87459","-117.75134",,,,,
371,"371","LA PALMA-JENIFER",,"33.87358","-117.75618",,,,,
373,"373","LA PALMA-MARK",,"33.87107","-117.76631",,,,,
374,"374","LA PALMA-POTOMAC",,"33.87008","-117.76972",,,,,
375,"375","LA PALMA-EMOGENE",,"33.86821","-117.77186",,,,,
376,"376","LA PALMA-HONDO",,"33.86329","-117.77642",,,,,
377,"377","LA PALMA-ENT 5815 FRIENDLY VILLAGE",,"33.85964","-117.78468",,,,,
378,"378","LA PALMA-IMPERIAL",,"33.85987","-117.79128",,,,,
379,"379","LA PALMA-WESCOM CORPORATE CENTER",,"33.86004","-117.79466",,,,,
380,"380","LA PALMA-BRASHER",,"33.85962","-117.79947",,,,,
381,"381","LA PALMA-KELLOGG",,"33.85963","-117.80736",,,,,
382,"382","LA PALMA-MANASSERO",,"33.85962","-117.81238",,,,,
383,"383","LA PALMA-LAKEVIEW",,"33.85959","-117.81898",,,,,
384,"384","LA PALMA-FEE ANA",,"33.85950","-117.82310",,,,,
385,"385","LA PALMA-RICHFIELD",,"33.85949","-117.82651",,,,,
386,"386","LA PALMA-VAN BUREN",,"33.85817","-117.83121",,,,,
387,"387","LA PALMA-HAWK",,"33.85627","-117.83323",,,,,
388,"388","LA PALMA-TUSTIN",,"33.85563","-117.83785",,,,,
389,"389","LA PALMA-FOUNTAIN",,"33.85464","-117.84397",,,,,
390,"390","LA PALMA-MILLER",,"33.85376","-117.84745",,,,,
391,"391","LA PALMA-OCEAN",,"33.85338","-117.84898",,,,,
393,"393","LA PALMA-KRAEMER",,"33.85116","-117.85779",,,,,
394,"394","LA PALMA-ARMANDO",,"33.85062","-117.85982",,,,,
395,"395","LA PALMA-RED GUM",,"33.84952","-117.86409",,,,,
396,"396","LA PALMA-BLUE GUM",,"33.84870","-117.86740",,,,,
397,"397","LA PALMA-CHANTILLY",,"33.84738","-117.87520",,,,,
398,"398","LA PALMA-MIRALOMA",,"33.84737","-117.88018",,,,,
399,"399","LA PALMA-PARADISE",,"33.84732","-117.88329",,,,,
400,"400","LA PALMA-WHITTIER",,"33.84736","-117.88585",,,,,
402,"402","LA PALMA-STATE COLLEGE",,"33.84736","-117.89025",,,,,
403,"403","LA PALMA-BAXTER",,"33.84739","-117.89391",,,,,
404,"404","LA PALMA-ACACIA",,"33.84735","-117.89839",,,,,
405,"405","LA PALMA-LIBERTY",,"33.84736","-117.90068",,,,,
406,"406","LA PALMA-EAST",,"33.84737","-117.90620",,,,,
407,"407","LA PALMA-PAULINE",,"33.84737","-117.91074",,,,,
408,"408","LA PALMA-OLIVE",,"33.84734","-117.91419",,,,,
409,"409","LA PALMA-ANAHEIM",,"33.84733","-117.91738",,,,,
410,"410","LA PALMA-ANAHEIM",,"33.84742","-117.91846",,,,,
411,"411","LA PALMA-LEMON",,"33.84737","-117.92027",,,,,
412,"412","LA PALMA-HARBOR",,"33.84730","-117.92347",,,,,
413,"413","LA PALMA-CITRON",,"33.84727","-117.92763",,,,,
414,"414","LA PALMA-WEST",,"33.84725","-117.93260",,,,,
415,"415","LA PALMA-LIDO",,"33.84723","-117.93473",,,,,
416,"416","LA PALMA-ARBOR",,"33.84716","-117.93885",,,,,
417,"417","LA PALMA-EUCLID",,"33.84718","-117.94220",,,,,
418,"418","LA PALMA-ONONDAGA",,"33.84714","-117.94645",,,,,
419,"419","LA PALMA-ANAHEIM SHORES",,"33.84710","-117.95229",,,,,
420,"420","LA PALMA-BROOKHURST",,"33.84711","-117.95827",,,,,
421,"421","LA PALMA-GILBERT",,"33.84704","-117.96846",,,,,
422,"422","LA PALMA-MAYFLOWER",,"33.84699","-117.97260",,,,,
423,"423","LA PALMA-MAGNOLIA",,"33.84692","-117.97696",,,,,
424,"424","LA PALMA-WOODLAND",,"33.84690","-117.97967",,,,,
428,"428","ANAHEIM-COMMERCIAL",,"33.85302","-117.91977",,,,,
429,"429","LEMON-ORANGEFAIR",,"33.85677","-117.91978",,,,,
430,"430","LEMON-ORANGETHORPE",,"33.85920","-117.91981",,,,,
431,"431","LEMON-FREEDOM",,"33.86216","-117.91980",,,,,
432,"432","ANAHEIM-COMMERCIAL",,"33.85230","-117.92000",,,,,
433,"433","LEMON-CARL KARCHER",,"33.85013","-117.91997",,,,,
445,"445","LINCOLN-KNOTT",,"33.83192","-118.00967",,,,,
446,"446","LINCOLN-WESTCHESTER",,"33.83180","-118.00503",,,,,
447,"447","LINCOLN-WESTERN",,"33.83195","-118.00201",,,,,
448,"448","LINCOLN-GRAND",,"33.83192","-117.99770",,,,,
449,"449","LINCOLN-BEACH",,"33.83192","-117.99294",,,,,
450,"450","LINCOLN-BEL AIR",,"33.83196","-117.98929",,,,,
451,"451","LINCOLN-DALE",,"33.83195","-117.98409",,,,,
452,"452","LINCOLN-STINSON",,"33.83197","-117.97919",,,,,
453,"453","LINCOLN-MAGNOLIA",,"33.83210","-117.97556",,,,,
454,"454","LINCOLN-GAIN",,"33.83217","-117.97260",,,,,
455,"455","LINCOLN-GILBERT",,"33.83223","-117.96812",,,,,
457,"457","LINCOLN-BROOKHURST",,"33.83242","-117.95809",,,,,
458,"458","LINCOLN-EMPIRE",,"33.83227","-117.95427",,,,,
459,"459","LINCOLN-MULLER",,"33.83234","-117.94953",,,,,
460,"460","LINCOLN-CRESCENT",,"33.83231","-117.94662",,,,,
461,"461","LINCOLN-EUCLID",,"33.83240","-117.94104",,,,,
462,"462","LINCOLN-LOARA",,"33.83240","-117.93682",,,,,
465,"465","LINCOLN-WEST",,"33.83264","-117.92688",,,,,
467,"467","LINCOLN-CITRON",,"33.83324","-117.92314",,,,,
468,"468","LINCOLN-HARBOR",,"33.83409","-117.91897",,,,,
469,"469","LINCOLN-CLEMENTINE",,"33.83505","-117.91724",,,,,
470,"470","LINCOLN-ANAHEIM",,"33.83624","-117.91476",,,,,
471,"471","LINCOLN-CLAUDINA",,"33.83687","-117.91250",,,,,
472,"472","LINCOLN-OLIVE",,"33.83724","-117.90974",,,,,
473,"473","LINCOLN-EAST",,"33.83798","-117.90189",,,,,
474,"474","LINCOLN-LA PLAZA",,"33.83876","-117.89851",,,,,
