stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
21,817627,"West Cypress Rd & Orchard Prk Dr",37.990500,-121.711338,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=21"
22,817604,"West Cypress Rd & Fall Ln",37.990529,-121.699459,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=22"
23,817670,"Vintage Pky & Main St",37.998816,-121.719001,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=23"
24,813709,"West Cypress Rd & Ponderosa Wy",37.990492,-121.726768,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=24"
25,813692,"West Cypress Rd & Lorenzetti Dr",37.990489,-121.722039,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=25"
27,813659,"Empire Ave & Sauterne Wy",37.992385,-121.732237,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=27"
28,813713,"West Cypress Rd & Ohara Ave",37.990606,-121.713793,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=28"
29,813721,"West Cypress Rd & Orchard Prk Dr",37.990624,-121.711095,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=29"
30,813732,"West Cypress Rd & Rose Ave",37.990646,-121.704777,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=30"
31,813745,"West Cypress Rd & Mellowood Dr",37.990670,-121.699920,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=31"
32,818760,"Empire Ave & Gamay Dr",37.994319,-121.732229,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=32"
33,813644,"Main St & Empire Ave",37.997858,-121.730597,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=33"
34,813628,"Main St & Teakwood Dr",37.997942,-121.726598,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=34"
35,813637,"Main St & Teakwood Dr",37.997717,-121.725735,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=35"
36,817398,"Hillcrest Ave & Larkspur Dr",37.995242,-121.784724,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=36"
37,817380,"Hillcrest Ave & East Tregallas Rd",37.994002,-121.784506,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=37"
38,817379,"Deer Valley Rd & Hillcrest Tce Ct",37.988968,-121.785644,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=38"
39,817403,"Deer Valley Rd & Hillcrest Tce Ct",37.987695,-121.785560,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=39"
40,817367,"Deer Valley Rd & Wildflower Dr",37.986510,-121.785906,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=40"
41,817419,"Deer Valley Rd & Carpinteria Dr",37.984010,-121.784498,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=41"
42,817351,"Deer Valley Rd & Carpinteria Dr",37.983074,-121.784240,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=42"
43,817346,"Deer Valley Rd & Bluerock Dr",37.980299,-121.784949,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=43"
44,817426,"Deer Valley Rd & Bluerock Dr",37.980548,-121.784324,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=44"
45,817435,"Deer Valley Rd & Rocky Point Dr",37.977328,-121.786226,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=45"
46,817333,"Deer Valley Rd & Rocky Point Dr",37.977062,-121.786455,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=46"
47,817442,"Deer Valley Rd & Asilomar Dr",37.973922,-121.784410,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=47"
48,817322,"Deer Valley Rd & Asilomar Dr",37.972797,-121.783901,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=48"
49,817314,"Deer Valley Rd & Country Hills Dr",37.970606,-121.781772,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=49"
50,817305,"Deer Valley Rd & Lone Tree Wy",37.966525,-121.780121,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=50"
51,817295,"Lone Tree Wy & Deer Valley Rd",37.965423,-121.779520,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=51"
52,813830,"Lone Tree Wy & Sagebrush Dr",37.963572,-121.771898,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=52"
53,817282,"Lone Tree Wy & Deer Valley High",37.964068,-121.774086,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=53"
54,813824,"Lone Tree Wy & Indian Hill Dr",37.961712,-121.764053,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=54"
55,813811,"Lone Tree Wy & Hillcrest Ave",37.961580,-121.758896,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=55"
56,813807,"Lone Tree Wy & Vista Grande Dr",37.961587,-121.754435,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=56"
57,813797,"Lone Tree Wy & Canada Valley Rd",37.961497,-121.748934,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=57"
58,813784,"Lone Tree Wy & Shady Willow Ln",37.961450,-121.737252,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=58"
59,813778,"Lone Tree Wy & Empire Ave",37.961448,-121.731749,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=59"
60,813766,"Lone Tree Wy & Giannini Rnch",37.961474,-121.729846,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=60"
61,813525,"Lone Tree Wy & Bluerock Dr",37.977616,-121.802896,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=61"
62,813518,"Lone Tree Wy & Sutter Delta",37.982628,-121.805496,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=62"
63,813491,"Lone Tree Wy & Clearbrook Rd",37.987631,-121.806733,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=63"
64,813502,"Lone Tree Wy & Sunset Ln",37.985489,-121.805757,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=64"
65,813489,"Lone Tree Wy & Walton Ln",37.991451,-121.807558,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=65"
66,813470,"Lone Tree Wy & Worrell Rd",37.994044,-121.807697,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=66"
67,813462,"Lone Tree Wy & East Tregallas Rd",37.995819,-121.806537,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=67"
69,813436,"A St & Belshaw St",38.001553,-121.805872,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=69"
70,813161,"A St & East 16th St",38.006161,-121.805918,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=70"
71,816679,"Hillcrest Ave & Renwick Ln",38.000252,-121.787636,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=71"
72,814302,"Hillcrest Ave & Yellowstone Dr",38.003281,-121.787641,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=72"
73,813296,"East 18th St & Hargrove St",38.004998,-121.782936,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=73"
74,813157,"A St & East 13th St",38.008782,-121.805925,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=74"
75,813306,"East 18th St & St Claire Dr",38.005017,-121.778751,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=75"
76,813323,"East 18th St & Viera Ave",38.005056,-121.773172,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=76"
77,813352,"East 18th St & Drive In Way",38.005247,-121.756023,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=77"
78,819025,"Main St & East 18th St",38.005222,-121.752237,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=78"
79,817950,"Main St & Big Break Rd",38.004830,-121.733495,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=79"
80,813381,"Vintage Pky & Almaden Cir",38.007276,-121.731598,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=80"
81,813415,"Vintage Pky & Rutherford",38.004451,-121.719887,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=81"
82,813404,"Vintage Pky & Concannon Dr",38.005060,-121.725422,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=82"
83,813399,"Concannon Dr & Vintage Pky",38.006283,-121.728943,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=83"
84,819311,"Vintage Pky & Main St",37.998344,-121.718757,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=84"
85,813265,"Wildflower Dr & Deer Valley Rd",37.986848,-121.784705,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=85"
86,813254,"Hillcrest Ave & Wildflower Dr",37.987003,-121.780357,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=86"
87,813249,"Hillcrest Ave & Via Dora Dr",37.983098,-121.772853,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=87"
88,813212,"Hillcrest Ave & Bellflower Dr",37.983115,-121.770023,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=88"
89,813208,"Hillcrest Ave & Golden Bear Dr",37.977018,-121.762877,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=89"
90,813539,"Lone Tree Wy & Eagleridge Dr",37.971399,-121.795931,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=90"
91,813556,"Lone Tree Wy & Country Hills Dr",37.968447,-121.786546,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=91"
92,813541,"Lone Tree Wy & Muirwood Wy",37.970022,-121.791272,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=92"
93,819297,"Hillcrest Ave & Deerfield Dr",37.973134,-121.762925,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=93"
94,813188,"Hillcrest Ave & Sterling Hill Dr",37.970710,-121.760945,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=94"
95,813174,"Hillcrest Ave & Country Hills Dr",37.966083,-121.760159,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=95"
96,813560,"Lone Tree Wy & Deer Valley Rd",37.966339,-121.781001,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=96"
97,818938,"Deer Valley Rd & Prewett Ranch Dr",37.960613,-121.778773,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=97"
98,815856,"Deer Valley Rd & Prewett Ranch Dr",37.960684,-121.778498,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=98"
99,813443,"Deer Valley Rd & Prewett Ranch Dr",37.957745,-121.778110,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=99"
100,813587,"Deer Valley Rd & Kaiser",37.951553,-121.778018,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=100"
101,813594,"Sand Creek Rd & Deer Valley Rd",37.949520,-121.775722,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=101"
106,812546,"Willow Pass Rd & Crivello Ave",38.026858,-121.933621,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=106"
107,812551,"Willow Pass Rd & Seasons Dr",38.026891,-121.928779,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=107"
108,812567,"Willow Pass Rd & Balclutha Wy",38.026826,-121.923242,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=108"
109,812579,"Polaris Dr & Range Rd",38.023346,-121.917617,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=109"
110,812580,"Polaris Dr & East Catamaran Cir",38.023320,-121.915079,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=110"
111,812598,"Polaris Dr & Brickyard Ave",38.023331,-121.910361,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=111"
112,819143,"Power Ave & Jorgensen Dr",38.021849,-121.903963,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=112"
113,819278,"Power Ave & Andrew Ave",38.020107,-121.900204,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=113"
114,812624,"17th West St & Bruno Ave",38.022601,-121.896068,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=114"
115,812630,"Civic Ave & Davi Ave",38.021570,-121.891523,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=115"
116,812648,"Civic Ave & Railroad Ave",38.021081,-121.889472,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=116"
117,812800,"Railroad Ave & East 17th St",38.021828,-121.887677,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=117"
118,812816,"Railroad Ave & Central Ave",38.024973,-121.886744,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=118"
119,812837,"Harbor St & East 10th St",38.026358,-121.878432,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=119"
120,812844,"Harbor St & East 12th St",38.024598,-121.878977,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=120"
121,812859,"East 12th St & Pine St",38.023579,-121.876550,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=121"
122,812863,"East 12th St & Columbia St",38.022573,-121.872916,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=122"
123,812828,"East 10th St & Los Medanos St",38.027550,-121.883331,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=123"
124,812871,"Columbia St & East 14th St",38.020113,-121.873553,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=124"
125,812653,"Railroad Ave & Bliss Ave",38.015989,-121.889641,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=125"
126,812790,"Railroad Ave & Bliss Ave",38.015251,-121.890245,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=126"
129,812669,"Railroad Ave & East Leland Rd",38.013312,-121.890655,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=129"
130,812719,"Harbor St & Garcia Ave",38.012474,-121.885707,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=130"
131,812788,"Railroad Ave & West Leland Rd",38.011707,-121.891600,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=131"
132,812742,"Harbor St & East Leland Rd",38.011448,-121.885801,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=132"
133,812676,"Railroad Ave & Alvarado Ave",38.010761,-121.891634,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=133"
134,818901,"Harbor St & Leland Ln",38.010524,-121.886452,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=134"
135,812757,"Harbor St & East Leland Rd",38.010364,-121.886202,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=135"
136,812695,"Harbor St & Presidio Ln",38.009195,-121.887161,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=136"
137,812682,"Atlantic Ave & Atlantic Cir",38.007997,-121.891395,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=137"
138,812774,"Atlantic Ave & Atlantic Cir",38.007693,-121.890825,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=138"
139,812761,"Atlantic Ave & Atlantic Cir",38.007997,-121.888573,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=139"
140,812885,"Pittsburg Antioch Hwy & Loveridge Rd",38.015361,-121.860508,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=140"
141,812892,"Loveridge Rd & California Ave",38.012635,-121.864151,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=141"
142,812902,"Loveridge Rd & Hwy 4",38.011095,-121.868197,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=142"
143,817997,"Loveridge Rd & East Leland Rd",38.009319,-121.870304,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=143"
144,812925,"East Leland Rd & Loveridge Rd",38.008081,-121.869694,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=144"
145,812939,"East Leland Rd & Gladstone Dr",38.008534,-121.865642,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=145"
146,819444,"East Leland Rd & Lakeview Cir",38.007256,-121.862094,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=146"
147,812960,"Delta Fair Blvd & School St",38.003769,-121.850018,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=147"
148,819094,"Delta Fair Blvd & Kendree St",38.003196,-121.847145,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=148"
149,812987,"Delta Fair Blvd & Kaiser",38.004146,-121.842735,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=149"
150,812994,"Auto Center Dr & Century Blvd",38.006340,-121.834819,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=150"
151,813017,"Sycamore Dr & Canal",38.005733,-121.830889,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=151"
152,813029,"Sycamore Dr & Spanos St",38.005404,-121.827796,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=152"
153,813038,"Sycamore Dr & Banyan Wy",38.005077,-121.825446,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=153"
154,813040,"Sycamore Dr & Peppertree Wy",38.004223,-121.821432,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=154"
155,813055,"L St & West 18th St",38.005036,-121.819938,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=155"
156,813064,"L St & West 9th St",38.011654,-121.819898,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=156"
157,813072,"L St & West 5th St",38.015110,-121.819894,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=157"
158,813086,"West 4th St & J St",38.015539,-121.817777,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=158"
159,813093,"West 4th St & H St",38.015540,-121.815392,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=159"
160,813103,"West 6th St & B St",38.014106,-121.807409,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=160"
161,813119,"A St & West 6th St",38.013776,-121.806125,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=161"
162,812483,"West Leland Rd & Oak Hills Dr",38.015432,-121.943492,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=162"
163,819266,"Bailey Rd & Maylard St",38.016165,-121.942116,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=163"
164,814259,"Bailey Rd & Maylard St",38.017257,-121.941809,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=164"
165,812505,"Bailey Rd & Canal Rd",38.020849,-121.942030,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=165"
166,812431,"Bailey Rd & Canal Rd",38.021004,-121.941729,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=166"
167,812514,"Bailey Rd & Mary Ann Ln",38.024632,-121.942064,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=167"
168,819087,"Bailey Rd & Placer Dr",38.024787,-121.941795,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=168"
169,812522,"Willow Pass Rd & Nth Broadway Ave",38.026860,-121.940606,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=169"
170,812412,"Willow Pass Rd & Poinsettia Ave",38.026676,-121.938908,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=170"
171,812533,"Willow Pass Rd & Madison Ave",38.026849,-121.936898,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=171"
172,812408,"Willow Pass Rd & Bella Vista Ave",38.026678,-121.934048,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=172"
173,812386,"Willow Pass Rd & Winter Wy",38.026709,-121.930857,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=173"
174,812372,"Willow Pass Rd & Loftus Rd",38.026674,-121.927778,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=174"
175,812364,"Willow Pass Rd & Balclutha Wy",38.026675,-121.923713,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=175"
176,812317,"Polaris Dr & Range Rd",38.023161,-121.917789,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=176"
177,812301,"Polaris Dr & East Catamaran Cir",38.023146,-121.915093,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=177"
178,812291,"Polaris Dr & Brickyard Ave",38.023167,-121.911356,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=178"
179,812289,"Power Ave & Case Dr",38.022271,-121.905680,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=179"
180,812270,"Power Ave & Jorgensen Dr",38.021323,-121.903544,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=180"
181,812262,"Andrew Ave & Power Ave",38.020138,-121.899278,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=181"
182,818843,"Andrew Ave & 17th West St",38.022506,-121.898368,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=182"
183,812243,"17th West St & Bruno Ave",38.022509,-121.896184,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=183"
184,819382,"Civic Ave & 17th West St",38.021348,-121.891622,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=184"
185,812227,"Civic Ave & Railroad Ave",38.020857,-121.889538,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=185"
186,812215,"Railroad Ave & School St",38.021297,-121.887587,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=186"
187,812145,"Columbia St & East 14th St",38.019841,-121.873846,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=187"
188,815744,"East 12th St & Columbia St",38.022377,-121.872753,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=188"
189,812166,"East 12th St & Pine St",38.023319,-121.876156,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=189"
190,812178,"Harbor St & East Santa Fe Ave",38.024756,-121.879245,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=190"
191,812204,"Railroad Ave & Central Ave",38.025058,-121.886408,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=191"
192,812197,"East 10th St & Los Medanos St",38.027265,-121.882841,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=192"
193,812184,"Harbor St & 10th St",38.026283,-121.878767,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=193"
194,812132,"Pittsburg Antioch Hwy & Loveridge Rd",38.015176,-121.860563,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=194"
195,812121,"Loveridge Rd & Hwy 4",38.011007,-121.869082,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=195"
196,812113,"East Leland Rd & Loveridge Rd",38.007926,-121.870225,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=196"
197,812109,"East Leland Rd & Commerce Pl",38.008195,-121.864655,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=197"
198,819073,"East Leland Rd & Lakeview Cir",38.007838,-121.861525,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=198"
